id,attribut,valeur,ref,impactprix,impactpoids,qtt
12,"Taille:select:1, Couleur:select:2, Effet:select:0 ","20 (x280):1,Crystal:2,Standard:0",5191375,82.6,5.083,10
12,"Taille:select:1, Couleur:select:2, Effet:select:0 ","22 (x210):1,Crystal:2,Standard:0",5191378,72.6,3.165,10
12,"Taille:select:1, Couleur:select:2, Effet:select:0 ","24 (x150):1,Crystal:2,Standard:0",5191380,55.6,2.0265,10
12,"Taille:select:1, Couleur:select:2, Effet:select:0 ","28 (x96):1,Crystal:2,Standard:0",5191383,58.6,1.08996,10
12,"Taille:select:1, Couleur:select:2, Effet:select:0 ","32 (x96):1,Crystal:2,Standard:0",5191386,102.6,1.91076,10
12,"Taille:select:1, Couleur:select:2, Effet:select:0 ","36 (x72):1,Crystal:2,Standard:0",5191388,86.6,1.27596,10
12,"Taille:select:1, Couleur:select:2, Effet:select:0 ","40 (x30):1,Crystal:2,Standard:0",5191390,0,0,10
13,"Taille:select:1, Couleur:select:2, Effet:select:0 ","18 (x400):1,Crystal:2,Standard:0",5279198,0,0,10
14,"Taille:select:1, Couleur:select:2, Effet:select:0 ","14 (x800):1,Crystal:2,Standard:0",5191392,103,14.431,10
14,"Taille:select:1, Couleur:select:2, Effet:select:0 ","18 (x400):1,Crystal:2,Standard:0",5191394,51,4.811,10
14,"Taille:select:1, Couleur:select:2, Effet:select:0 ","20 (x280):1,Crystal:2,Standard:0",5191396,27,3.153,10
14,"Taille:select:1, Couleur:select:2, Effet:select:0 ","22 (x210):1,Crystal:2,Standard:0",5237458,17,1.2147,10
14,"Taille:select:1, Couleur:select:2, Effet:select:0 ","24 (x150):1,Crystal:2,Standard:0",5191398,0,0,10
15,"Taille:select:1, Couleur:select:2, Effet:select:0 ","22 (x210):1,Crystal:2,Standard:0",5279209,0,0,10
16,"Taille:select:1, Couleur:select:2, Effet:select:0 ","14 (x800):1,Crystal:2,Standard:0",5191400,103,11.588,10
16,"Taille:select:1, Couleur:select:2, Effet:select:0 ","16 (x540):1,Crystal:2,Standard:0",5191402,65,7.5438,10
16,"Taille:select:1, Couleur:select:2, Effet:select:0 ","18 (x400):1,Crystal:2,Standard:0",5191404,51,4.712,10
16,"Taille:select:1, Couleur:select:2, Effet:select:0 ","20 (x280):1,Crystal:2,Standard:0",5191406,27,3.0852,10
16,"Taille:select:1, Couleur:select:2, Effet:select:0 ","22 (x210):1,Crystal:2,Standard:0",5191408,17,1.1469,10
16,"Taille:select:1, Couleur:select:2, Effet:select:0 ","24 (x150):1,Crystal:2,Standard:0",5191410,0,0,10
17,"Taille:select:1, Couleur:select:2, Effet:select:0 ","22 (x210):1,Crystal:2,Standard:0",5279215,0,0,10
18,"Taille:select:1, Couleur:select:2, Effet:select:0 ","81x13 (x48):1,Crystal:2,Standard:0",166099,43,460.4604,10
18,"Taille:select:1, Couleur:select:2, Effet:select:0 ","145x19 (x24):1,Crystal:2,Standard:0",159885,0,0,10
18,"Taille:select:1, Couleur:select:2, Effet:select:0 ","75x14 (x48):1,Crystal:2,Standard:0",166098,40,0.1452,10
18,"Taille:select:1, Couleur:select:2, Effet:select:0 ","137x23 (x24):1,Crystal:2,Standard:0",159882,6,0.06936,10
19,"Taille:select:1, Couleur:select:2, Effet:select:0 ","63x18 (x150):1,Crystal:2,Standard:0",159199,68,1.149,10
19,"Taille:select:1, Couleur:select:2, Effet:select:0 ","100x18 (x105):1,Crystal:2,Standard:0",159200,0,0,10
20,"Taille:select:1, Couleur:select:2, Effet:select:0 ","63x22 (x125):1,Crystal:2,Standard:0",159204,52,1.07775,10
20,"Taille:select:1, Couleur:select:2, Effet:select:0 ","76x22 (x100):1,Crystal:2,Standard:0",159205,0,0,10
21,"Taille:select:1, Couleur:select:2, Effet:select:0 ","63x22 (x125):1,Crystal:2,Standard:0",159206,52,0.7995,10
21,"Taille:select:1, Couleur:select:2, Effet:select:0 ","76x22 (x100):1,Crystal:2,Standard:0",159207,0,0,10
22,"Taille:select:1, Couleur:select:2, Effet:select:0 ","52x18 (x180):1,Crystal:2,Standard:0",159049,149,3.516,10
22,"Taille:select:1, Couleur:select:2, Effet:select:0 ","58x26 (x60):1,Crystal:2,Standard:0",159050,0,0,10
22,"Taille:select:1, Couleur:select:2, Effet:select:0 ","63x30 (x60):1,Crystal:2,Standard:0",159051,53,0.606,10
23,"Taille:select:1, Couleur:select:2, Effet:select:0 ","52x18 (x180):1,Crystal:2,Standard:0",159889,0,0,10
24,"Taille:select:1, Couleur:select:2, Effet:select:0 ","90 (x12):1,Crystal:2,Standard:0",159893,0,0,10
25,"Taille:select:1, Couleur:select:2, Effet:select:0 ","5 (x8.4):1,Crystal:2,Standard:0",159894,289,0.13973,10
25,"Taille:select:1, Couleur:select:2, Effet:select:0 ","6 (x7.2):1,Crystal:2,Standard:0",159721,490,0.16699,10
25,"Taille:select:1, Couleur:select:2, Effet:select:0 ","7 (x3.36):1,Crystal:2,Standard:0",159722,198,0.03936,10
25,"Taille:select:1, Couleur:select:2, Effet:select:0 ","8 (x3.36):1,Crystal:2,Standard:0",159895,333,0.0576,10
25,"Taille:select:1, Couleur:select:2, Effet:select:0 ","9 (x3.024):1,Crystal:2,Standard:0",159382,417,0.08232,10
25,"Taille:select:1, Couleur:select:2, Effet:select:0 ","10 (x1.792):1,Crystal:2,Standard:0",159208,251,0.00571,10
25,"Taille:select:1, Couleur:select:2, Effet:select:0 ","10 (x1.792):1,Arctic White:2,Standard:0",5284399,352,0.00071,10
25,"Taille:select:1, Couleur:select:2, Effet:select:0 ","10 (x1.792):1,Jet:2,Standard:0",843179,352,0.00604,10
25,"Taille:select:1, Couleur:select:2, Effet:select:0 ","10 (x1.792):1,Light Topaz:2,Standard:0",651572,352,0.00595,10
25,"Taille:select:1, Couleur:select:2, Effet:select:0 ","10 (x1.792):1,Silk:2,Standard:0",5039148,352,0.00166,10
25,"Taille:select:1, Couleur:select:2, Effet:select:0 ","10 (x1.792):1,Topaz:2,Standard:0",667046,352,0,10
25,"Taille:select:1, Couleur:select:2, Effet:select:0 ","11 (x1.568):1,Crystal:2,Standard:0",159723,307,0.01065,10
25,"Taille:select:1, Couleur:select:2, Effet:select:0 ","12 (x972):1,Crystal:2,Standard:0",159209,188,26.01633,10
25,"Taille:select:1, Couleur:select:2, Effet:select:0 ","14 (x720):1,Crystal:2,Standard:0",159383,162,23.01645,10
25,"Taille:select:1, Couleur:select:2, Effet:select:0 ","16 (x384):1,Crystal:2,Standard:0",159896,68,10.14093,10
25,"Taille:select:1, Couleur:select:2, Effet:select:0 ","18 (x320):1,Crystal:2,Standard:0",159689,135,10.53005,10
25,"Taille:select:1, Couleur:select:2, Effet:select:0 ","20 (x144):1,Crystal:2,Standard:0",159690,0,2.95725,10
26,"Taille:select:1, Couleur:select:2, Effet:select:0 ","7 (x3.696):1,Crystal:2,Standard:0",160322,0,0,10
27,"Taille:select:1, Couleur:select:2, Effet:select:0 ","25x8 (x1.08):1,Crystal:2,Standard:0",159048,0,0,10
28,"Taille:select:1, Couleur:select:2, Effet:select:0 ","12x12x12 (x480):1,Crystal:2,Standard:0",989475,48,8.715,10
28,"Taille:select:1, Couleur:select:2, Effet:select:0 ","18x18x18 (x140):1,Crystal:2,Standard:0",989476,0,0,10
29,"Taille:select:1, Couleur:select:2, Effet:select:0 ","20x11.5 (x480):1,Crystal:2,Standard:0",989473,28,9.48912,10
29,"Taille:select:1, Couleur:select:2, Effet:select:0 ","28x15.5 (x144):1,Crystal:2,Standard:0",989474,0,0,10
30,"Taille:select:1, Couleur:select:2, Effet:select:0 ","10 (x560):1,Crystal:2,Standard:0",5277694,0,4.1664,10
30,"Taille:select:1, Couleur:select:2, Effet:select:0 ","14 (x280):1,Crystal:2,Standard:0",5277695,3,0,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","20 (x144):1,Antique Green:2,Standard:0",262022,349.2,3.06956,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","20 (x144):1,Blue Violet:2,Standard:0",627122,349.2,3.20492,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","20 (x144):1,Bordeaux:2,Standard:0",262026,349.2,2.98172,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","20 (x144):1,Crystal:2,Standard:0",249101,283.2,3.06524,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","20 (x144):1,Dark Sapphire:2,Standard:0",943311,349.2,2.96444,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","20 (x144):1,Emerald:2,Standard:0",696437,349.2,3.01628,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","20 (x144):1,Jet:2,Standard:0",650273,349.2,3.09692,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","20 (x144):1,Light Peridot:2,Standard:0",662782,349.2,3.06524,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","20 (x144):1,Light Topaz:2,Standard:0",262025,349.2,3.08828,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","20 (x144):1,Medium Sapphire:2,Standard:0",262023,349.2,3.06956,10
