id,attribut,valeur,ref,impactprix,impactpoids,qtt,ean
8,"Taille:select:1, Couleur:select:2","MM 34.0                (x113):1,CRYSTAL   CHROM  :2",5236340,5,0,9009652363403,10
8,"Taille:select:1, Couleur:select:2","MM 62.0                (x203):1,CRYSTAL  CHROM        :2",5236343,95,2.42,9009652363434,10
8,"Taille:select:1, Couleur:select:2","MM 34.0                (x128):1,JET    HEM  :2",5236341,20,0.006,9009652363410,10
8,"Taille:select:1, Couleur:select:2","MM 62.0                (x229):1,JET   HEM      :2",5236344,121,2.459,9009652363441,10
9,"Taille:select:1, Couleur:select:2","MM 30.0                (x138):1,CRYSTAL      :2",1068471,18,0,9007810684711,10
9,"Taille:select:1, Couleur:select:2","MM 30.0                (x120):1,CRYSTAL      :2",1068470,0,0,9007810684704,10
10,"Taille:select:1, Couleur:select:2","MM 40.0                (x153):1,CRYSTAL      :2",1072848,20,0,9007810728484,10
10,"Taille:select:1, Couleur:select:2","MM 40.0                (x133):1,CRYSTAL      :2",1072847,0,0,9007810728477,10
11,"Taille:select:1, Couleur:select:2","MM300.0                (x247):1,CRYSTAL      :2",1068480,33,0,9007810684803,10
11,"Taille:select:1, Couleur:select:2","MM300.0                (x214):1,CRYSTAL      :2",1068479,0,0,9007810684797,10
12,"Taille:select:1, Couleur:select:2","MM 14.0                (x64):1,CRYSTAL      :2",1068481,0,0,9007810684810,10
13,"Taille:select:1, Couleur:select:2","MM 16.0                (x715):1,CRYSTAL   CVZSI  :2",1067456,0,0,9007810674569,10
14,"Taille:select:1, Couleur:select:2","MM 56.0                (x250):1,CRYSTAL        :2",1067357,0,0,9007810673579,10
15,"Taille:select:1, Couleur:select:2","MM 56.0                (x374):1,CRYSTAL        :2",1067466,0,0,9007810674668,10
16,"Taille:select:1, Couleur:select:2","MM 60.0                (x499):1,CRYSTAL        :2",1067468,0,0,9007810674682,10
17,"Taille:select:1, Couleur:select:2","MM 60.0             (x191):1,CRYSTAL  CALVZSI:2",1067471,0,0,9007810674712,10
18,"Taille:select:1, Couleur:select:2","MM 61.0                (x100):1,CRYSTAL   CVSI  :2",1067472,0,0,9007810674729,10
19,"Taille:select:1, Couleur:select:2","MM 50.0                (x114):1,CRYSTAL           :2",1066751,0,0,9007810667516,10
20,"Taille:select:1, Couleur:select:2","MM 64.0                (x734):1,CRYSTAL       :2",5241093,0,0,9009652410930,10
20,"Taille:select:1, Couleur:select:2","MM 64.0                (x844):1,CRYSTAL   SIGLA        :2",5293122,110,0,9009652931220,10
21,"Taille:select:1, Couleur:select:2","MM 50.0                (x341):1,CRYSTAL        :2",1066755,0,0,9007810667554,10
22,"Taille:select:1, Couleur:select:2","MM 48.0                (x328):1,CRYSTAL   CVSI     :2",1066754,0,0,9007810667547,10
23,"Taille:select:1, Couleur:select:2","90 (x12):1,Crystal :2",159523,0,0,9003141595238,10
24,"Taille:select:1, Couleur:select:2","75 (x12):1,Crystal :2",5081769,6,0,9009650817694,10
24,"Taille:select:1, Couleur:select:2","90 (x9):1,Crystal :2",5081770,0,0.389,9009650817700,10
24,"Taille:select:1, Couleur:select:2","110 (x6):1,Crystal :2",5081772,15,0.674,9009650817724,10
24,"Taille:select:1, Couleur:select:2","75 (x12):1,Crystal Golden Shadow:2",5100417,41,0,9009651004178,10
24,"Taille:select:1, Couleur:select:2","90 (x9):1,Crystal Golden Shadow:2",5100418,34,0.389,9009651004185,10
24,"Taille:select:1, Couleur:select:2","110 (x6):1,Crystal Golden Shadow:2",5100419,51,0.674,9009651004192,10
24,"Taille:select:1, Couleur:select:2","75 (x12):1,Crystal Silver Glaze:2",5101417,41,0,9009651014177,10
24,"Taille:select:1, Couleur:select:2","90 (x9):1,Crystal Silver Glaze:2",5101418,34,0.389,9009651014184,10
24,"Taille:select:1, Couleur:select:2","110 (x6):1,Crystal Silver Glaze:2",5101416,51,0.674,9009651014160,10
25,"Taille:select:1, Couleur:select:2","50 (x12):1,Crystal :2",159524,0,0,9003141595245,10
25,"Taille:select:1, Couleur:select:2","50 (x12):1,Crystal :2",159486,0,0,9003141594866,10
26,"Taille:select:1, Couleur:select:2","40x39 (x20):1,Crystal :2",159487,0,0,9003141594873,10
27,"Taille:select:1, Couleur:select:2","80 (x4):1,Crystal :2",160444,0,0,9003141604442,10
28,"Taille:select:1, Couleur:select:2","55 (x36):1,Crystal :2",159525,0,0.22,9003141595252,10
28,"Taille:select:1, Couleur:select:2","55 (x36):1,Crystal :2",159490,0,0,9003141594903,10
29,"Taille:select:1, Couleur:select:2","175 (x1):1,Crystal :2",5256819,0,0,9009652568198,10
30,"Taille:select:1, Couleur:select:2","12 (x26):1,Crystal :2",265953,371.9,1.159,9003142659533,10
30,"Taille:select:1, Couleur:select:2","14 (x18):1,Crystal :2",265954,230.9,1.577,9003142659540,10
30,"Taille:select:1, Couleur:select:2","16 (x1):1,Crystal :2",265955,227.9,0.75,9003142659557,10
30,"Taille:select:1, Couleur:select:2","18 (x600):1,Crystal :2",265966,156.9,0.36,9003142659663,10
30,"Taille:select:1, Couleur:select:2","20 (x420):1,Crystal :2",265970,133.9,0.42,9003142659700,10
30,"Taille:select:1, Couleur:select:2","22 (x350):1,Crystal :2",265971,152.9,0.66,9003142659717,10
30,"Taille:select:1, Couleur:select:2","24 (x300):1,Crystal :2",265973,180.9,1,9003142659731,10
30,"Taille:select:1, Couleur:select:2","26 (x240):1,Crystal :2",265977,169.9,0.923,9003142659779,10
30,"Taille:select:1, Couleur:select:2","28 (x150):1,Crystal :2",265981,103.9,0.46,9003142659816,10
30,"Taille:select:1, Couleur:select:2","30 (x125):1,Crystal :2",265984,103.9,0.632,9003142659847,10
30,"Taille:select:1, Couleur:select:2","40 (x56):1,Crystal :2",265986,126.9,0.56,9003142659861,10
30,"Taille:select:1, Couleur:select:2","50 (x20):1,Crystal :2",265987,0,0,9003142659878,10
30,"Taille:select:1, Couleur:select:2","60 (x20):1,Crystal :2",265988,56.9,0.925,9003142659885,10
30,"Taille:select:1, Couleur:select:2","14 (x18):1,Antique Green :2",274034,295.9,1.58,9003142740347,10
30,"Taille:select:1, Couleur:select:2","14 (x18):1,Blue Violet :2",627120,295.9,1.732,9003146271205,10
30,"Taille:select:1, Couleur:select:2","14 (x18):1,Bordeaux :2",274035,295.9,1.483,9003142740354,10
30,"Taille:select:1, Couleur:select:2","14 (x18):1,Dark Sapphire :2",943307,295.9,1.463,9003149433075,10
30,"Taille:select:1, Couleur:select:2","14 (x18):1,Emerald :2",696435,295.9,1.521,9003146964350,10
30,"Taille:select:1, Couleur:select:2","14 (x18):1,Jet :2",632236,295.9,1.611,9003146322365,10
30,"Taille:select:1, Couleur:select:2","14 (x18):1,Light Peridot :2",662779,295.9,1.577,9003146627798,10
30,"Taille:select:1, Couleur:select:2","14 (x18):1,Light Topaz :2",274036,295.9,1.602,9003142740361,10
30,"Taille:select:1, Couleur:select:2","14 (x18):1,Medium Sapphire :2",274037,295.9,1.58,9003142740378,10
30,"Taille:select:1, Couleur:select:2","14 (x18):1,Rosaline :2",274038,295.9,1.58,9003142740385,10
30,"Taille:select:1, Couleur:select:2","14 (x18):1,Silk :2",5039147,295.9,1.136,9009650391477,10
30,"Taille:select:1, Couleur:select:2","14 (x18):1,Topaz :2",627126,295.9,0.954,9003146271267,10
30,"Taille:select:1, Couleur:select:2","14 (x18):1,Violet :2",695137,295.9,1.665,9003146951374,10
30,"Taille:select:1, Couleur:select:2","14 (x18):1,Crystal Blue AB:2",274045,279.9,1.577,9003142740453,10
30,"Taille:select:1, Couleur:select:2","14 (x18):1,Crystal Bronze Shade:2",1186980,279.9,1.577,9007811869803,10
30,"Taille:select:1, Couleur:select:2","14 (x18):1,Crystal Golden Shadow:2",983974,279.9,1.577,9003149839747,10
30,"Taille:select:1, Couleur:select:2","14 (x18):1,Crystal Golden Teak:2",288048,279.9,1.577,9003142880487,10
30,"Taille:select:1, Couleur:select:2","14 (x18):1,Crystal Lilac:2",5039047,279.9,1.577,9009650390470,10
30,"Taille:select:1, Couleur:select:2","14 (x18):1,Crystal Silver Glaze:2",5101419,279.9,1.577,9009651014191,10
30,"Taille:select:1, Couleur:select:2","14 (x18):1,Crystal Silver Night:2",1135034,279.9,1.577,9007811350349,10
30,"Taille:select:1, Couleur:select:2","14 (x18):1,Crystal Silver Shade:2",983973,279.9,1.577,9003149839730,10
30,"Taille:select:1, Couleur:select:2","14 (x18):1,Arctic White :2",5284407,295.9,1.033,9009652844070,10
31,"Taille:select:1, Couleur:select:2","10 (x3):1,Crystal :2",265809,437.9,0.246,9003142658093,10
31,"Taille:select:1, Couleur:select:2","12 (x26):1,Crystal :2",265814,371.9,1.052,9003142658147,10
31,"Taille:select:1, Couleur:select:2","14 (x18):1,Crystal :2",265822,230.9,1.373,9003142658222,10
31,"Taille:select:1, Couleur:select:2","16 (x1):1,Crystal :2",265830,227.9,0.75,9003142658307,10
31,"Taille:select:1, Couleur:select:2","18 (x600):1,Crystal :2",265837,156.9,0.38,9003142658376,10
31,"Taille:select:1, Couleur:select:2","20 (x420):1,Crystal :2",265840,133.9,0.42,9003142658406,10
31,"Taille:select:1, Couleur:select:2","22 (x350):1,Crystal :2",265844,152.9,0.54,9003142658444,10
31,"Taille:select:1, Couleur:select:2","24 (x300):1,Crystal :2",265845,180.9,0.84,9003142658451,10
31,"Taille:select:1, Couleur:select:2","26 (x240):1,Crystal :2",265938,169.9,0.78,9003142659380,10
31,"Taille:select:1, Couleur:select:2","28 (x150):1,Crystal :2",265939,103.9,0.46,9003142659397,10
31,"Taille:select:1, Couleur:select:2","30 (x125):1,Crystal :2",265940,103.9,0.587,9003142659403,10
31,"Taille:select:1, Couleur:select:2","32 (x125):1,Crystal :2",265773,143.9,1.04,9003142657737,10
31,"Taille:select:1, Couleur:select:2","34 (x100):1,Crystal :2",265942,133.9,0.91,9003142659427,10
31,"Taille:select:1, Couleur:select:2","36 (x80):1,Crystal :2",265943,124.9,0.68,9003142659434,10
31,"Taille:select:1, Couleur:select:2","38 (x80):1,Crystal :2",265945,168.9,1.08,9003142659458,10
31,"Taille:select:1, Couleur:select:2","40 (x56):1,Crystal :2",265946,126.9,0.56,9003142659465,10
31,"Taille:select:1, Couleur:select:2","50 (x20):1,Crystal :2",265947,0,0,9003142659472,10
31,"Taille:select:1, Couleur:select:2","60 (x20):1,Crystal :2",265941,56.9,0.925,9003142659410,10
31,"Taille:select:1, Couleur:select:2","14 (x18):1,Antique Green :2",274039,295.9,1.379,9003142740392,10
31,"Taille:select:1, Couleur:select:2","14 (x18):1,Blue Violet :2",627121,295.9,1.526,9003146271212,10
31,"Taille:select:1, Couleur:select:2","14 (x18):1,Bordeaux :2",274040,295.9,1.283,9003142740408,10
31,"Taille:select:1, Couleur:select:2","14 (x18):1,Dark Sapphire :2",943308,295.9,1.264,9003149433082,10
31,"Taille:select:1, Couleur:select:2","14 (x18):1,Emerald :2",696436,295.9,1.321,9003146964367,10
31,"Taille:select:1, Couleur:select:2","14 (x18):1,Jet :2",626064,295.9,1.409,9003146260643,10
31,"Taille:select:1, Couleur:select:2","14 (x18):1,Light Peridot :2",662780,295.9,1.373,9003146627804,10
31,"Taille:select:1, Couleur:select:2","14 (x18):1,Light Topaz :2",274041,295.9,1.4,9003142740415,10
31,"Taille:select:1, Couleur:select:2","14 (x18):1,Medium Sapphire :2",274042,295.9,1.379,9003142740422,10
31,"Taille:select:1, Couleur:select:2","14 (x18):1,Rosaline :2",274043,295.9,1.379,9003142740439,10
31,"Taille:select:1, Couleur:select:2","14 (x18):1,Silk :2",5014575,295.9,0.941,9009650145759,10
31,"Taille:select:1, Couleur:select:2","14 (x18):1,Topaz :2",627127,295.9,0.765,9003146271274,10
31,"Taille:select:1, Couleur:select:2","14 (x18):1,Violet :2",695138,295.9,1.462,9003146951381,10
31,"Taille:select:1, Couleur:select:2","14 (x18):1,Crystal Blue AB:2",294794,279.9,1.373,9003142947944,10
31,"Taille:select:1, Couleur:select:2","14 (x18):1,Crystal Bronze Shade:2",1186981,279.9,1.373,9007811869810,10
31,"Taille:select:1, Couleur:select:2","14 (x18):1,Crystal Golden Shadow:2",982125,279.9,1.373,9003149821254,10
31,"Taille:select:1, Couleur:select:2","14 (x18):1,Crystal Golden Teak:2",288049,279.9,1.373,9003142880494,10
31,"Taille:select:1, Couleur:select:2","14 (x18):1,Crystal Lilac:2",5039042,279.9,1.373,9009650390425,10
31,"Taille:select:1, Couleur:select:2","14 (x18):1,Crystal Silver Glaze:2",5101420,279.9,1.373,9009651014207,10
31,"Taille:select:1, Couleur:select:2","14 (x18):1,Crystal Silver Night:2",1134427,279.9,1.373,9007811344270,10
31,"Taille:select:1, Couleur:select:2","14 (x18):1,Crystal Silver Shade:2",982301,279.9,1.373,9003149823012,10
31,"Taille:select:1, Couleur:select:2","14 (x18):1,Arctic White :2",5284408,295.9,0.841,9009652844087,10
32,"Taille:select:1, Couleur:select:2","14 (x18):1,Crystal :2",265989,3,0.568,9003142659892,10
32,"Taille:select:1, Couleur:select:2","16 (x1):1,Crystal :2",265991,0,0,9003142659915,10
33,"Taille:select:1, Couleur:select:2","16 (x1):1,Crystal :2",266000,0,0,9003142660003,10
34,"Taille:select:1, Couleur:select:2","14 (x800):1,Crystal :2",5191369,158.6,0.594,9009651913692,10
34,"Taille:select:1, Couleur:select:2","16 (x540):1,Crystal :2",5191371,120.6,0.35,9009651913715,10
34,"Taille:select:1, Couleur:select:2","18 (x400):1,Crystal :2",5191373,106.6,0.293,9009651913739,10
34,"Taille:select:1, Couleur:select:2","20 (x280):1,Crystal :2",5191375,82.6,0.485,9009651913753,10
34,"Taille:select:1, Couleur:select:2","22 (x210):1,Crystal :2",5191378,72.6,0.23,9009651913784,10
34,"Taille:select:1, Couleur:select:2","24 (x150):1,Crystal :2",5191380,55.6,0.159,9009651913807,10
34,"Taille:select:1, Couleur:select:2","28 (x96):1,Crystal :2",5191383,58.6,0.111,9009651913838,10
34,"Taille:select:1, Couleur:select:2","32 (x96):1,Crystal :2",5191386,102.6,0.966,9009651913869,10
34,"Taille:select:1, Couleur:select:2","36 (x72):1,Crystal :2",5191388,86.6,0.903,9009651913883,10
34,"Taille:select:1, Couleur:select:2","40 (x30):1,Crystal :2",5191390,0,0,9009651913906,10
35,"Taille:select:1, Couleur:select:2","18 (x400):1,Crystal :2",5279198,0,0,9009652791985,10
36,"Taille:select:1, Couleur:select:2","14 (x800):1,Crystal :2",5191392,103,0.486,9009651913920,10
36,"Taille:select:1, Couleur:select:2","18 (x400):1,Crystal :2",5191394,51,0.189,9009651913944,10
36,"Taille:select:1, Couleur:select:2","20 (x280):1,Crystal :2",5191396,27,0.373,9009651913968,10
36,"Taille:select:1, Couleur:select:2","22 (x210):1,Crystal :2",5237458,17,0.115,9009652374584,10
36,"Taille:select:1, Couleur:select:2","24 (x150):1,Crystal :2",5191398,0,0,9009651913982,10
37,"Taille:select:1, Couleur:select:2","22 (x210):1,Crystal :2",5279209,0,0,9009652792098,10
38,"Taille:select:1, Couleur:select:2","14 (x800):1,Crystal :2",5191400,103,0.103,9009651914002,10
38,"Taille:select:1, Couleur:select:2","16 (x540):1,Crystal :2",5191402,65,0.201,9009651914026,10
38,"Taille:select:1, Couleur:select:2","18 (x400):1,Crystal :2",5191404,51,0.143,9009651914040,10
38,"Taille:select:1, Couleur:select:2","20 (x280):1,Crystal :2",5191406,27,0.333,9009651914064,10
38,"Taille:select:1, Couleur:select:2","22 (x210):1,Crystal :2",5191408,17,0.073,9009651914088,10
38,"Taille:select:1, Couleur:select:2","24 (x150):1,Crystal :2",5191410,0,0,9009651914101,10
39,"Taille:select:1, Couleur:select:2","22 (x210):1,Crystal :2",5279215,0,0,9009652792159,10
40,"Taille:select:1, Couleur:select:2","75x14 (x48):1,Crystal :2",166098,40,0,9003141660981,10
40,"Taille:select:1, Couleur:select:2","81x13 (x48):1,Crystal :2",166099,43,958.99,9003141660998,10
40,"Taille:select:1, Couleur:select:2","137x23 (x24):1,Crystal :2",159882,6,0.694,9003141598826,10
40,"Taille:select:1, Couleur:select:2","145x19 (x24):1,Crystal :2",159885,0,0.405,9003141598857,10
41,"Taille:select:1, Couleur:select:2","63x18 (x150):1,Crystal :2",159199,68,0,9003141591995,10
41,"Taille:select:1, Couleur:select:2","100x18 (x105):1,Crystal :2",159200,0,0.26,9003141592008,10
42,"Taille:select:1, Couleur:select:2","63x22 (x125):1,Crystal :2",159204,52,0.221,9003141592046,10
42,"Taille:select:1, Couleur:select:2","76x22 (x100):1,Crystal :2",159205,0,0,9003141592053,10
42,"Taille:select:1, Couleur:select:2","63x22 (x125):1,Crystal Golden Teak:2",859916,129,0.221,9003148599161,10
42,"Taille:select:1, Couleur:select:2","76x22 (x100):1,Crystal Golden Teak:2",854284,69,0,9003148542846,10
43,"Taille:select:1, Couleur:select:2","63x22 (x125):1,Crystal :2",159206,52,0,9003141592060,10
43,"Taille:select:1, Couleur:select:2","76x22 (x100):1,Crystal :2",159207,0,0.038,9003141592077,10
43,"Taille:select:1, Couleur:select:2","63x22 (x125):1,Crystal Golden Teak:2",668597,129,0,9003146685972,10
43,"Taille:select:1, Couleur:select:2","76x22 (x100):1,Crystal Golden Teak:2",632888,69,0.038,9003146328886,10
44,"Taille:select:1, Couleur:select:2","52x18 (x180):1,Crystal :2",159049,149,0.82,9003141590493,10
44,"Taille:select:1, Couleur:select:2","58x26 (x60):1,Crystal :2",159050,0,0,9003141590509,10
44,"Taille:select:1, Couleur:select:2","63x30 (x60):1,Crystal :2",159051,53,1.01,9003141590516,10
45,"Taille:select:1, Couleur:select:2","52x18 (x180):1,Crystal :2",159889,0,0,9003141598895,10
46,"Taille:select:1, Couleur:select:2","90 (x12):1,Crystal :2",159893,0,0,9003141598932,10
47,"Taille:select:1, Couleur:select:2","10 (x560):1,Crystal :2",5277694,0,0,9009652776944,10
47,"Taille:select:1, Couleur:select:2","14 (x280):1,Crystal :2",5277695,3,0.619,9009652776951,10
48,"Taille:select:1, Couleur:select:2","20 (x144):1,Crystal :2",249101,283.2,0.386,9003142491010,10
48,"Taille:select:1, Couleur:select:2","30 (x48):1,Crystal :2",249102,150.2,0.645,9003142491027,10
48,"Taille:select:1, Couleur:select:2","40 (x40):1,Crystal :2",249103,241.2,2.766,9003142491034,10
48,"Taille:select:1, Couleur:select:2","50 (x12):1,Crystal :2",249104,125.2,1.035,9003142491041,10
48,"Taille:select:1, Couleur:select:2","60 (x5):1,Crystal :2",250850,77.2,0.295,9003142508503,10
48,"Taille:select:1, Couleur:select:2","70 (x1):1,Crystal :2",250851,0,628.245,9003142508510,10
48,"Taille:select:1, Couleur:select:2","100 (x1):1,Crystal :2",250852,235.2,0.025,9003142508527,10
48,"Taille:select:1, Couleur:select:2","20 (x144):1,Antique Green :2",262022,349.2,0.389,9003142620229,10
48,"Taille:select:1, Couleur:select:2","30 (x48):1,Antique Green :2",262030,189.2,0.648,9003142620304,10
48,"Taille:select:1, Couleur:select:2","40 (x40):1,Antique Green :2",262040,297.2,1.954,9003142620403,10
48,"Taille:select:1, Couleur:select:2","20 (x144):1,Blue Violet :2",627122,349.2,0.483,9003146271229,10
48,"Taille:select:1, Couleur:select:2","30 (x48):1,Blue Violet :2",626459,189.2,0.762,9003146264597,10
48,"Taille:select:1, Couleur:select:2","40 (x40):1,Blue Violet :2",626105,297.2,2.017,9003146261053,10
48,"Taille:select:1, Couleur:select:2","20 (x144):1,Bordeaux :2",262026,349.2,0.328,9003142620267,10
48,"Taille:select:1, Couleur:select:2","30 (x48):1,Bordeaux :2",262031,189.2,0.575,9003142620311,10
48,"Taille:select:1, Couleur:select:2","40 (x40):1,Bordeaux :2",662792,297.2,2.626,9003146627927,10
48,"Taille:select:1, Couleur:select:2","20 (x144):1,Dark Sapphire :2",943311,349.2,0.316,9003149433112,10
48,"Taille:select:1, Couleur:select:2","30 (x48):1,Dark Sapphire :2",943312,189.2,0.56,9003149433129,10
48,"Taille:select:1, Couleur:select:2","40 (x40):1,Dark Sapphire :2",1002764,297.2,2.598,9007810027648,10
48,"Taille:select:1, Couleur:select:2","20 (x144):1,Emerald :2",696437,349.2,0.352,9003146964374,10
48,"Taille:select:1, Couleur:select:2","30 (x48):1,Emerald :2",696438,189.2,0.604,9003146964381,10
48,"Taille:select:1, Couleur:select:2","40 (x40):1,Emerald :2",696439,297.2,2.685,9003146964398,10
48,"Taille:select:1, Couleur:select:2","20 (x144):1,Jet :2",650273,349.2,0.408,9003146502736,10
48,"Taille:select:1, Couleur:select:2","30 (x48):1,Jet :2",650274,189.2,0.672,9003146502743,10
48,"Taille:select:1, Couleur:select:2","40 (x40):1,Jet :2",650275,297.2,2.819,9003146502750,10
48,"Taille:select:1, Couleur:select:2","20 (x144):1,Light Peridot :2",662782,349.2,0.386,9003146627828,10
48,"Taille:select:1, Couleur:select:2","30 (x48):1,Light Peridot :2",662784,189.2,0.645,9003146627842,10
48,"Taille:select:1, Couleur:select:2","40 (x40):1,Light Peridot :2",662785,297.2,2.766,9003146627859,10
48,"Taille:select:1, Couleur:select:2","20 (x144):1,Light Topaz :2",262025,349.2,0.402,9003142620250,10
48,"Taille:select:1, Couleur:select:2","30 (x48):1,Light Topaz :2",262032,189.2,0.664,9003142620328,10
48,"Taille:select:1, Couleur:select:2","40 (x40):1,Light Topaz :2",262041,297.2,2.805,9003142620410,10
48,"Taille:select:1, Couleur:select:2","20 (x144):1,Medium Sapphire :2",262023,349.2,0.389,9003142620236,10
48,"Taille:select:1, Couleur:select:2","30 (x48):1,Medium Sapphire :2",262033,189.2,0.648,9003142620335,10
48,"Taille:select:1, Couleur:select:2","40 (x40):1,Medium Sapphire :2",262042,297.2,2.074,9003142620427,10
48,"Taille:select:1, Couleur:select:2","20 (x144):1,Rosaline :2",262024,349.2,0.389,9003142620243,10
48,"Taille:select:1, Couleur:select:2","30 (x48):1,Rosaline :2",262034,189.2,0.648,9003142620342,10
48,"Taille:select:1, Couleur:select:2","40 (x40):1,Rosaline :2",262043,297.2,2.055,9003142620434,10
48,"Taille:select:1, Couleur:select:2","20 (x144):1,Silk :2",5039150,349.2,0.112,9009650391507,10
48,"Taille:select:1, Couleur:select:2","30 (x48):1,Silk :2",5039152,189.2,0.314,9009650391521,10
48,"Taille:select:1, Couleur:select:2","40 (x40):1,Silk :2",5039155,297.2,2.107,9009650391552,10
48,"Taille:select:1, Couleur:select:2","20 (x144):1,Topaz :2",627128,349.2,0,9003146271281,10
48,"Taille:select:1, Couleur:select:2","30 (x48):1,Topaz :2",627134,189.2,0.177,9003146271342,10
48,"Taille:select:1, Couleur:select:2","40 (x40):1,Topaz :2",626059,297.2,1.836,9003146260599,10
48,"Taille:select:1, Couleur:select:2","20 (x144):1,Violet :2",695145,349.2,0.442,9003146951459,10
