id,attribut,valeur,ref,ean13,impactprix,impactpoids
1,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 10,0 (x3000):0,CRYSTAL:1,:2",265809,9003142658093,437.9,0.243
1,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 12,0 (x2600):0,CRYSTAL:1,:2",265814,9003142658147,371.9,1.0496
1,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 16,0 (x1000):0,CRYSTAL:1,:2",265830,9003142658307,227.9,0.75
1,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 18,0 (x600):0,CRYSTAL:1,:2",265837,9003142658376,156.9,0
1,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 20,0 (x420):0,CRYSTAL:1,:2",265840,9003142658406,133.9,0.3
1,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 22,0 (x350):0,CRYSTAL:1,:2",265844,9003142658444,152.9,0.3
1,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 24,0 (x300):0,CRYSTAL:1,:2",265845,9003142658451,180.9,0.6
1,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 26,0 (x240):0,CRYSTAL:1,:2",265938,9003142659380,169.9,0.6
1,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 28,0 (x150):0,CRYSTAL:1,:2",265939,9003142659397,103.9,0.45
1,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 30,0 (x125):0,CRYSTAL:1,:2",265940,9003142659403,103.9,0.575
1,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 60,0 (x20):0,CRYSTAL:1,:2",265941,9003142659410,56.9,0.92
1,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 34,0 (x100):0,CRYSTAL:1,:2",265942,9003142659427,133.9,0.9
1,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 36,0 (x80):0,CRYSTAL:1,:2",265943,9003142659434,124.9,0.68
1,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 38,0 (x80):0,CRYSTAL:1,:2",265945,9003142659458,168.9,1.08
1,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 40,0 (x56):0,CRYSTAL:1,:2",265946,9003142659465,126.9,0.552
1,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 50,0 (x20):0,CRYSTAL:1,:2",265947,9003142659472,0,0
2,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 14,0 (x1800):0,VIOLET:1,:2",695137,9003146951374,295.9,1.015
2,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 14,0 (x1800):0,EMER:1,:2",696435,9003146964350,295.9,0.871
2,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 14,0 (x1800):0,DK.SAPPH:1,:2",943307,9003149433075,295.9,0.8134
2,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 14,0 (x1800):0,CRYSTAL:1,SILVSHADE:2",983973,9003149839730,279.9,0.925
2,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 14,0 (x1800):0,CRYSTAL:1,GOL.SHADOW:2",983974,9003149839747,279.9,0.925
2,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 14,0 (x1800):0,CRYSTAL:1,SILVNIGHT:2",1135034,9007811350349,279.9,0.925
2,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 14,0 (x1800):0,CRYSTAL:1,BRONZSHADE:2",1186980,9007811869803,279.9,0.925
2,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 14,0 (x1800):0,CRYSTAL:1,LILAC:2",5039047,9009650390470,279.9,0.925
2,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 14,0 (x1800):0,SILK:1,:2",5039147,9009650391477,295.9,0.4858
2,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 14,0 (x1800):0,CRYSTAL:1,SILVGLAZE:2",5101419,9009651014191,279.9,0.925
2,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 14,0 (x1800):0,ARCWHITE:1,:2",5284407,9009652844070,295.9,0.3814
2,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 14,0 (x1800):0,CRYSTAL:1,:2",265954,9003142659540,230.9,0.925
2,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 14,0 (x1800):0,ROSALINE:1,:2",274038,9003142740385,295.9,0.9286
2,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 14,0 (x1800):0,MED.SAPPH:1,:2",274037,9003142740378,295.9,0.9286
2,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 14,0 (x1800):0,LT.TOP.:1,:2",274036,9003142740361,295.9,0.9502
2,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 14,0 (x1800):0,CRYSTAL:1,BL.AB:2",274045,9003142740453,279.9,0.925
2,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 14,0 (x1800):0,CRYSTAL:1,GOLD. TEAK:2",288048,9003142880487,279.9,0.925
2,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 14,0 (x1800):0,LT.PERI:1,:2",662779,9003146627798,295.9,0.925
2,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 14,0 (x1800):0,JET:1,:2",632236,9003146322365,295.9,0.961
2,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 14,0 (x1800):0,TOP:1,:2",627126,9003146271267,295.9,0.304
2,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 14,0 (x1800):0,ANT.GREEN:1,:2",274034,9003142740347,295.9,0.9286
2,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 14,0 (x1800):0,BORDEAUX:1,:2",274035,9003142740354,295.9,0.8314
2,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 14,0 (x1800):0,BL.VIOLET:1,:2",627120,9003146271205,295.9,1.0798
2,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 60,0 (x20):0,CRYSTAL:1,:2",265988,9003142659885,56.9,0.27
2,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 50,0 (x20):0,CRYSTAL:1,:2",265987,9003142659878,0,-0.65
2,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 40,0 (x56):0,CRYSTAL:1,:2",265986,9003142659861,126.9,-0.098
2,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 30,0 (x125):0,CRYSTAL:1,:2",265984,9003142659847,103.9,-0.075
2,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 28,0 (x150):0,CRYSTAL:1,:2",265981,9003142659816,103.9,-0.2
2,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 26,0 (x240):0,CRYSTAL:1,:2",265977,9003142659779,169.9,0.19
2,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 24,0 (x300):0,CRYSTAL:1,:2",265973,9003142659731,180.9,0.25
2,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 18,0 (x600):0,CRYSTAL:1,:2",265966,9003142659663,156.9,-0.65
2,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 20,0 (x420):0,CRYSTAL:1,:2",265970,9003142659700,133.9,-0.35
2,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 16,0 (x1000):0,CRYSTAL:1,:2",265955,9003142659557,227.9,0.1
2,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 12,0 (x2600):0,CRYSTAL:1,:2",265953,9003142659533,371.9,0.5088
2,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 22,0 (x350):0,CRYSTAL:1,:2",265971,9003142659717,152.9,0
4,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 14,0 (x800):0,CRYSTAL:1,:2",5191369,9009651913692,158.6,-0.02
4,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 40,0 (x30):0,CRYSTAL:1,:2",5191390,9009651913906,0,-0.15
4,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 36,0 (x72):0,CRYSTAL:1,:2",5191388,9009651913883,86.6,0.756
4,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 32,0 (x96):0,CRYSTAL:1,:2",5191386,9009651913869,102.6,0.78
4,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 28,0 (x96):0,CRYSTAL:1,:2",5191383,9009651913838,58.6,-0.084
4,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 24,0 (x150):0,CRYSTAL:1,:2",5191380,9009651913807,55.6,-0.12
4,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 22,0 (x210):0,CRYSTAL:1,:2",5191378,9009651913784,72.6,0.06
4,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 20,0 (x280):0,CRYSTAL:1,:2",5191375,9009651913753,82.6,0.34
4,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 18,0 (x400):0,CRYSTAL:1,:2",5191373,9009651913739,106.6,-0.02
4,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 16,0 (x540):0,CRYSTAL:1,:2",5191371,9009651913715,120.6,0
5,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 14,0 (x800):0,CRYSTAL:1,:2",5191392,9009651913920,103,0
5,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 20,0 (x280):0,CRYSTAL:1,:2",5191396,9009651913968,27,0.36
5,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 22,0 (x210):0,CRYSTAL:1,:2",5237458,9009652374584,17,0.08
5,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 24,0 (x150):0,CRYSTAL:1,:2",5191398,9009651913982,0,-0.1
5,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 18,0 (x400):0,CRYSTAL:1,:2",5191394,9009651913944,51,0
6,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 14,0 (x800):0,CRYSTAL:1,:2",5191400,9009651914002,103,-0.02
6,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 24,0 (x150):0,CRYSTAL:1,:2",5191410,9009651914101,0,0.03
6,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 22,0 (x210):0,CRYSTAL:1,:2",5191408,9009651914088,17,0.06
6,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 20,0 (x280):0,CRYSTAL:1,:2",5191406,9009651914064,27,0.34
6,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 18,0 (x400):0,CRYSTAL:1,:2",5191404,9009651914040,51,-0.02
6,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 16,0 (x540):0,CRYSTAL:1,:2",5191402,9009651914026,65,0
7,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 14,0 (x1800):0,CRYSTAL:1,:2",265989,9003142659892,3,0.5676
7,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 16,0 (x1000):0,CRYSTAL:1,:2",265991,9003142659915,0,0
8,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 16,0 (x1000):0,CRYSTAL:1,:2",266000,9003142660003,0,0
9,"Taille:select:0, Couleur:select:1, Effet:select:2","MM175,0 (x1):0,CRYSTAL:1,:2",5256819,9009652568198,0,0
10,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 22,0 (x210):0,CRYSTAL:1,:2",5279209,9009652792098,0,0
11,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 18,0 (x400):0,CRYSTAL:1,:2",5279198,9009652791985,0,0
12,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 22,0 (x210):0,CRYSTAL:1,:2",5279215,9009652792159,0,0
13,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 70,0 (x1):0,CRYSTAL:1,:2",250851,9003142508510,0,-3.69
13,"Taille:select:0, Couleur:select:1, Effet:select:2","MM100,0 (x1):0,CRYSTAL:1,:2",250852,9003142508527,235.2,-2.54
13,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 20,0 (x144):0,ANT.GREEN:1,:2",262022,9003142620229,349.2,-2.304
13,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 20,0 (x144):0,MED.SAPPH:1,:2",262023,9003142620236,349.2,-2.304
13,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 20,0 (x144):0,ROSALINE:1,:2",262024,9003142620243,349.2,-2.304
13,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 20,0 (x144):0,LT.TOP.:1,:2",262025,9003142620250,349.2,-2.304
13,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 20,0 (x144):0,BORDEAUX:1,:2",262026,9003142620267,349.2,-2.304
13,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 20,0 (x144):0,LT.PERI:1,:2",662782,9003146627828,349.2,-2.304
13,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 30,0 (x48):0,ANT.GREEN:1,:2",262030,9003142620304,189.2,-1.92
13,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 30,0 (x48):0,BORDEAUX:1,:2",262031,9003142620311,189.2,-2.016
13,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 30,0 (x48):0,LT.TOP.:1,:2",262032,9003142620328,189.2,-1.92
13,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 60,0 (x5):0,CRYSTAL:1,:2",250850,9003142508503,77.2,-2.27
13,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 50,0 (x12):0,CRYSTAL:1,:2",249104,9003142491041,125.2,-1.536
13,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 40,0 (x40):0,CRYSTAL:1,:2",249103,9003142491034,241.2,0.2
13,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 30,0 (x48):0,CRYSTAL:1,:2",249102,9003142491027,150.2,-1.968
13,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 20,0 (x144):0,CRYSTAL:1,:2",249101,9003142491010,283.2,-2.304
13,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 20,0 (x144):0,DK.SAPPH:1,:2",943311,9003149433112,349.2,-2.304
13,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 30,0 (x48):0,DK.SAPPH:1,:2",943312,9003149433129,189.2,-2.016
13,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 40,0 (x40):0,CRYSTAL:1,GOL.SHADOW:2",982134,9003149821346,283.2,0.2
13,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 30,0 (x48):0,LT.PERI:1,:2",662784,9003146627842,189.2,-1.968
13,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 40,0 (x40):0,LT.PERI:1,:2",662785,9003146627859,297.2,0.2
13,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 30,0 (x48):0,CRYSTAL:1,GOL.SHADOW:2",987871,9003149878715,179.2,-1.968
13,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 40,0 (x40):0,BORDEAUX:1,:2",662792,9003146627927,297.2,0.04
13,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 30,0 (x48):0,MED.SAPPH:1,:2",262033,9003142620335,189.2,-1.92
13,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 40,0 (x40):0,TOP:1,:2",626059,9003146260599,297.2,-0.76
13,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 40,0 (x40):0,BL.VIOLET:1,:2",626105,9003146261053,297.2,-0.56
13,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 30,0 (x48):0,BL.VIOLET:1,:2",626459,9003146264597,189.2,-1.824
13,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 30,0 (x48):0,EMER:1,:2",696438,9003146964381,189.2,-1.968
13,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 20,0 (x144):0,BL.VIOLET:1,:2",627122,9003146271229,349.2,-2.16
13,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 40,0 (x40):0,EMER:1,:2",696439,9003146964398,297.2,0.08
13,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 40,0 (x40):0,CRYSTAL:1,GOLD. TEAK:2",889227,9003148892279,283.2,0.2
13,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 20,0 (x144):0,TOP:1,:2",627128,9003146271281,349.2,-2.592
13,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 30,0 (x48):0,TOP:1,:2",627134,9003146271342,189.2,-2.4
13,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 20,0 (x144):0,EMER:1,:2",696437,9003146964374,349.2,-2.304
13,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 20,0 (x144):0,VIOLET:1,:2",695145,9003146951459,349.2,-2.16
13,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 30,0 (x48):0,CRYSTAL:1,GOLD. TEAK:2",679428,9003146794285,179.2,-1.968
13,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 40,0 (x40):0,VIOLET:1,:2",695147,9003146951473,297.2,-0.56
13,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 30,0 (x48):0,VIOLET:1,:2",695146,9003146951466,189.2,-1.872
13,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 20,0 (x144):0,JET:1,:2",650273,9003146502736,349.2,-2.16
13,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 30,0 (x48):0,JET:1,:2",650274,9003146502743,189.2,-1.92
13,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 40,0 (x40):0,JET:1,:2",650275,9003146502750,297.2,0.24
13,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 40,0 (x40):0,ROSALINE:1,:2",262043,9003142620434,297.2,-0.52
13,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 40,0 (x40):0,MED.SAPPH:1,:2",262042,9003142620427,297.2,-0.52
13,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 40,0 (x40):0,LT.TOP.:1,:2",262041,9003142620410,297.2,0.2
13,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 40,0 (x40):0,ANT.GREEN:1,:2",262040,9003142620403,297.2,-0.64
13,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 40,0 (x40):0,CRYSTAL:1,BL.AB:2",262035,9003142620359,283.2,-0.52
13,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 30,0 (x48):0,ROSALINE:1,:2",262034,9003142620342,189.2,-1.92
13,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 40,0 (x40):0,CRYSTAL:1,SILVGLAZE:2",5101422,9009651014221,283.2,0.2
13,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 30,0 (x48):0,CRYSTAL:1,SILVGLAZE:2",5101421,9009651014214,179.2,-1.968
13,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 40,0 (x40):0,SILK:1,:2",5039155,9009650391552,297.2,-0.48
13,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 30,0 (x48):0,SILK:1,:2",5039152,9009650391521,189.2,-2.256
13,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 30,0 (x48):0,ARCWHITE:1,:2",5284410,9009652844100,189.2,-2.352
13,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 30,0 (x48):0,CRYSTAL:1,BL.AB:2",262029,9003142620298,179.2,-1.968
13,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 20,0 (x144):0,CRYSTAL:1,BL.AB:2",262027,9003142620274,333.2,-2.304
13,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 20,0 (x144):0,SILK:1,:2",5039150,9009650391507,349.2,-2.592
13,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 40,0 (x40):0,DK.SAPPH:1,:2",1002764,9007810027648,297.2,0
14,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 30,0 (x48):0,CRYSTAL:1,:2",5279221,9009652792210,0,-2.168
14,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 40,0 (x40):0,CRYSTAL:1,:2",5279222,9009652792227,104,0
15,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 50,0 (x28):0,CRYSTAL:1,:2",159212,9003141592121,63,0.012
15,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 40,0 (x48):0,CRYSTAL:1,:2",159211,9003141592114,20,-0.192
15,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 30,0 (x144):0,CRYSTAL:1,:2",159054,9003141590547,0,0
16,"Taille:select:0, Couleur:select:1, Effet:select:2","MM100,0X 20,0 (x48):0,CRYSTAL:1,:2",159217,9003141592176,51,-0.192
16,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 50,0X 14,0 (x150):0,CRYSTAL:1,:2",159215,9003141592152,0,-0.216
16,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 40,0X 11,0 (x336):0,CRYSTAL:1,:2",159214,9003141592145,43,0
16,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 18,0X  7,5 (x1620):0,CRYSTAL:1,:2",159213,9003141592138,692,0.39456
16,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 63,0X 13,0 (x150):0,CRYSTAL:1,:2",159216,9003141592169,112,-0.066
16,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 40,0X 11,0 (x336):0,TOP:1,:2",941296,9003149412964,99,-0.336
16,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 40,0X 11,0 (x336):0,BL.VIOLET:1,:2",941297,9003149412971,99,0
16,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 40,0X 11,0 (x336):0,LT.TOP.:1,:2",247741,9003142477410,99,0
16,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 40,0X 11,0 (x336):0,JET:1,:2",624856,9003146248566,99,0
16,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 40,0X 11,0 (x336):0,DK.SAPPH:1,:2",943313,9003149433136,99,0
16,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 40,0X 11,0 (x336):0,CRYSTAL:1,GOL.SHADOW:2",1136566,9007811365664,85,0
16,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 40,0X 11,0 (x336):0,ANT.GREEN:1,:2",207943,9003142079430,99,0
