id,attribut,valeur,ref,impactprix,impactpoids,
12,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"36 (x72):1,Crystal:0,Standard:1",5191388,86.6,1.27596
12,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"40 (x30):1,Crystal:0,Standard:1",5191390,0,0
13,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"18 (x400):1,Crystal:0,Standard:1",5279198,0,0
14,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"14 (x800):1,Crystal:0,Standard:1",5191392,103,14.431
14,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"18 (x400):1,Crystal:0,Standard:1",5191394,51,4.811
14,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"20 (x280):1,Crystal:0,Standard:1",5191396,27,3.153
14,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"22 (x210):1,Crystal:0,Standard:1",5237458,17,1.2147
14,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"24 (x150):1,Crystal:0,Standard:1",5191398,0,0
15,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"22 (x210):1,Crystal:0,Standard:1",5279209,0,0
16,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"14 (x800):1,Crystal:0,Standard:1",5191400,103,11.588
16,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"16 (x540):1,Crystal:0,Standard:1",5191402,65,7.5438
16,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"18 (x400):1,Crystal:0,Standard:1",5191404,51,4.712
16,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"20 (x280):1,Crystal:0,Standard:1",5191406,27,3.0852
16,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"22 (x210):1,Crystal:0,Standard:1",5191408,17,1.1469
16,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"24 (x150):1,Crystal:0,Standard:1",5191410,0,0
17,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"22 (x210):1,Crystal:0,Standard:1",5279215,0,0
18,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"81x13 (x48):1,Crystal:0,Standard:1",166099,43,460.4604
18,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"145x19 (x24):1,Crystal:0,Standard:1",159885,0,0
18,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"75x14 (x48):1,Crystal:0,Standard:1",166098,40,0.1452
18,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"137x23 (x24):1,Crystal:0,Standard:1",159882,6,0.06936
19,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"63x18 (x150):1,Crystal:0,Standard:1",159199,68,1.149
19,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"100x18 (x105):1,Crystal:0,Standard:1",159200,0,0
20,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"63x22 (x125):1,Crystal:0,Standard:1",159204,52,1.07775
20,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"76x22 (x100):1,Crystal:0,Standard:1",159205,0,0
21,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"63x22 (x125):1,Crystal:0,Standard:1",159206,52,0.7995
21,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"76x22 (x100):1,Crystal:0,Standard:1",159207,0,0
22,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"52x18 (x180):1,Crystal:0,Standard:1",159049,149,3.516
22,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"58x26 (x60):1,Crystal:0,Standard:1",159050,0,0
22,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"63x30 (x60):1,Crystal:0,Standard:1",159051,53,0.606
23,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"52x18 (x180):1,Crystal:0,Standard:1",159889,0,0
24,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"90 (x12):1,Crystal:0,Standard:1",159893,0,0
25,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"5 (x8.4):1,Crystal:0,Standard:1",159894,289,0.13973
25,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"6 (x7.2):1,Crystal:0,Standard:1",159721,490,0.16699
25,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"7 (x3.36):1,Crystal:0,Standard:1",159722,198,0.03936
25,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"8 (x3.36):1,Crystal:0,Standard:1",159895,333,0.0576
25,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"9 (x3.024):1,Crystal:0,Standard:1",159382,417,0.08232
25,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"10 (x1.792):1,Crystal:0,Standard:1",159208,251,0.00571
25,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"10 (x1.792):1,Arctic White:0,Standard:1",5284399,352,0.00071
25,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"10 (x1.792):1,Jet:0,Standard:1",843179,352,0.00604
25,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"10 (x1.792):1,Light Topaz:0,Standard:1",651572,352,0.00595
25,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"10 (x1.792):1,Silk:0,Standard:1",5039148,352,0.00166
25,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"10 (x1.792):1,Topaz:0,Standard:1",667046,352,0
25,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"11 (x1.568):1,Crystal:0,Standard:1",159723,307,0.01065
25,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"12 (x972):1,Crystal:0,Standard:1",159209,188,26.01633
25,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"14 (x720):1,Crystal:0,Standard:1",159383,162,23.01645
25,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"16 (x384):1,Crystal:0,Standard:1",159896,68,10.14093
25,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"18 (x320):1,Crystal:0,Standard:1",159689,135,10.53005
25,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"20 (x144):1,Crystal:0,Standard:1",159690,0,2.95725
26,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"7 (x3.696):1,Crystal:0,Standard:1",160322,0,0
