EAN/UPC-Code,Material,Article,Size,Colour,Effect,Foiling,Motiv ,Description,custom code,origin,packing unit size (pcs),Brutto weight,,Net weight,,price per packing unit,
9007811350349,1135034,8115,"MM 14,0",CRYSTAL,SILVNIGHT,,,LE-LB ALL OCTAGONS 14MM,94059110,AT,1800,"1875,556",MG,"1543,524",MG,375,EUR
9007811869803,1186980,8115,"MM 14,0",CRYSTAL,BRONZSHADE,,,LE-LB ALL OCTAGONS 14MM,94059110,AT,1800,"1875,556",MG,"1543,524",MG,375,EUR
9007811869810,1186981,8116,"MM 14,0",CRYSTAL,BRONZSHADE,,,LE-LB ALL OCTAGONS 14MM,94059110,AT,1800,"1763,472",MG,"1515,278",MG,375,EUR
9009650145759,5014575,8116,"MM 14,0",SILK,,,,LE-LB ALL OCTAGONS 14MM,94059110,AT,1800,"1523,475",MG,"1275,281",MG,391,EUR
9009650390425,5039042,8116,"MM 14,0",CRYSTAL,LILAC,,,LE-LB ALL OCTAGONS 14MM,94059110,AT,1800,"1763,472",MG,"1515,278",MG,375,EUR
9009650390470,5039047,8115,"MM 14,0",CRYSTAL,LILAC,,,LE-LB ALL OCTAGONS 14MM,94059110,AT,1800,"1875,556",MG,"1543,524",MG,375,EUR
9009650391477,5039147,8115,"MM 14,0",SILK,,,,LE-LB ALL OCTAGONS 14MM,94059110,AT,1800,"1631,084",MG,"1299,053",MG,391,EUR
9009651014191,5101419,8115,"MM 14,0",CRYSTAL,SILVGLAZE,,,LE-LB ALL OCTAGONS 14MM,94059110,AT,1800,"1875,556",MG,"1543,524",MG,375,EUR
9009651014207,5101420,8116,"MM 14,0",CRYSTAL,SILVGLAZE,,,LE-LB ALL OCTAGONS 14MM,94059110,AT,1800,"1763,472",MG,"1515,278",MG,375,EUR
9009651913692,5191369,8124,"MM 14,0",CRYSTAL,,,,LE-LB ALL OCTAGONS 14MM,94059110,AT*,800,"2,605",G,"1,74",G,254,EUR
9009651913920,5191392,8125,"MM 14,0",CRYSTAL,,,,LE-LB ALL OCTAGONS 14MM,94059110,AT*,800,"2,635",G,"1,77",G,254,EUR
9009651914002,5191400,8126,"MM 14,0",CRYSTAL,,,,LE-LB ALL OCTAGONS 14MM,94059110,AT*,800,"2,199",G,"1,75",G,254,EUR
9009652844070,5284407,8115,"MM 14,0",ARCWHITE,,,,LE-LB ALL OCTAGONS 14MM,94059110,AT,1800,"1573,562",MG,"1241,531",MG,391,EUR
9009652844087,5284408,8116,"MM 14,0",ARCWHITE,,,,LE-LB ALL OCTAGONS 14MM,94059110,AT,1800,"1467,005",MG,"1218,81",MG,391,EUR
9003142658222,265822,8116,"MM 14,0",CRYSTAL,,,,LE-LB ALL OCTAGONS 14MM,94059110,AT,1800,"1763,472",MG,"1515,278",MG,326,EUR
9003142659540,265954,8115,"MM 14,0",CRYSTAL,,,,LE-LB ALL OCTAGONS 14MM,94059110,AT,1800,"1875,556",MG,"1543,524",MG,326,EUR
9003142740422,274042,8116,"MM 14,0",MED.SAPPH,,,,LE-LB ALL OCTAGONS 14MM,94059110,AT,1800,"1765,825",MG,"1517,631",MG,391,EUR
9003142740415,274041,8116,"MM 14,0",LT.TOP.,,,,LE-LB ALL OCTAGONS 14MM,94059110,AT,1800,"1777,589",MG,"1529,395",MG,391,EUR
9003142740408,274040,8116,"MM 14,0",BORDEAUX,,,,LE-LB ALL OCTAGONS 14MM,94059110,AT,1800,"1712,649",MG,"1464,455",MG,391,EUR
9003142740392,274039,8116,"MM 14,0",ANT.GREEN,,,,LE-LB ALL OCTAGONS 14MM,94059110,AT,1800,"1765,825",MG,"1517,631",MG,391,EUR
9003142740385,274038,8115,"MM 14,0",ROSALINE,,,,LE-LB ALL OCTAGONS 14MM,94059110,AT,1800,"1877,952",MG,"1545,921",MG,391,EUR
9003142740378,274037,8115,"MM 14,0",MED.SAPPH,,,,LE-LB ALL OCTAGONS 14MM,94059110,AT,1800,"1877,952",MG,"1545,921",MG,391,EUR
9003142740361,274036,8115,"MM 14,0",LT.TOP.,,,,LE-LB ALL OCTAGONS 14MM,94059110,AT,1800,"1889,936",MG,"1557,905",MG,391,EUR
9003142740439,274043,8116,"MM 14,0",ROSALINE,,,,LE-LB ALL OCTAGONS 14MM,94059110,AT,1800,"1765,825",MG,"1517,631",MG,391,EUR
9003142740453,274045,8115,"MM 14,0",CRYSTAL,BL.AB,,,LE-LB ALL OCTAGONS 14MM,94059110,AT,1800,"1875,556",MG,"1543,524",MG,375,EUR
9003142880487,288048,8115,"MM 14,0",CRYSTAL,GOLD. TEAK,,,LE-LB ALL OCTAGONS 14MM,94059110,AT,1800,"1875,556",MG,"1543,524",MG,375,EUR
9003146627798,662779,8115,"MM 14,0",LT.PERI,,,,LE-LB ALL OCTAGONS 14MM,94059110,AT,1800,"1875,556",MG,"1543,524",MG,391,EUR
9003146322365,632236,8115,"MM 14,0",JET,,,,LE-LB ALL OCTAGONS 14MM,94059110,AT,1800,"1895,209",MG,"1563,178",MG,391,EUR
9003146271274,627127,8116,"MM 14,0",TOP,,,,LE-LB ALL OCTAGONS 14MM,94059110,AT,1800,"1424,652",MG,"1176,458",MG,391,EUR
9003146271267,627126,8115,"MM 14,0",TOP,,,,LE-LB ALL OCTAGONS 14MM,94059110,AT,1800,"1530,419",MG,"1198,388",MG,391,EUR
9003142659892,265989,8117,"MM 14,0",CRYSTAL,,,,LE-LB ALL OCTAGONS 14MM,94059110,AT*,1800,"1732,222",MG,"1513,889",MG,326,EUR
9003142740347,274034,8115,"MM 14,0",ANT.GREEN,,,,LE-LB ALL OCTAGONS 14MM,94059110,AT,1800,"1877,952",MG,"1545,921",MG,391,EUR
9003142740354,274035,8115,"MM 14,0",BORDEAUX,,,,LE-LB ALL OCTAGONS 14MM,94059110,AT,1800,"1823,786",MG,"1491,754",MG,391,EUR
9003146271212,627121,8116,"MM 14,0",BL.VIOLET,,,,LE-LB ALL OCTAGONS 14MM,94059110,AT,1800,"1848,177",MG,"1599,983",MG,391,EUR
9003146271205,627120,8115,"MM 14,0",BL.VIOLET,,,,LE-LB ALL OCTAGONS 14MM,94059110,AT,1800,"1961,839",MG,"1629,808",MG,391,EUR
9003146260643,626064,8116,"MM 14,0",JET,,,,LE-LB ALL OCTAGONS 14MM,94059110,AT,1800,"1782,766",MG,"1534,572",MG,391,EUR
9003142947944,294794,8116,"MM 14,0",CRYSTAL,BL.AB,,,LE-LB ALL OCTAGONS 14MM,94059110,AT,1800,"1763,472",MG,"1515,278",MG,375,EUR
9003142880494,288049,8116,"MM 14,0",CRYSTAL,GOLD. TEAK,,,LE-LB ALL OCTAGONS 14MM,94059110,AT,1800,"1763,472",MG,"1515,278",MG,375,EUR
9009650760211,5076021,,,,,,,LE-LB OCTAGONS OTHER SIZES,,,0,0,KG,0,KG,0,
9009651913968,5191396,8125,"MM 20,0",CRYSTAL,,,,LE-LB OCTAGONS OTHER SIZES,94059110,AT*,280,"7,125",G,"5,2",G,178,EUR
9003142660003,266000,8118,"MM 16,0",CRYSTAL,,,,LE-LB OCTAGONS OTHER SIZES,94059110,AT*,1000,"2,55",G,"2,15",G,323,EUR
9003142659915,265991,8117,"MM 16,0",CRYSTAL,,,,LE-LB OCTAGONS OTHER SIZES,94059110,AT*,1000,2550,MG,"2084,722",MG,323,EUR
