N° de système,Description,Code article,-,Unité de conditionne,Prix/Unité,Général stock,Quantité minimum de,Surcout (%),Quantité hors surcou,EAN
1186987,"8721 MM 50,0X 29,0 CRYSTAL BRONZSHADE B",8721M50X29001BRSHB-,au programme,72,"236,00 EUR",2304,0,0,0,9007811869872
1186988,"8721 MM 63,0X 37,0 CRYSTAL BRONZSHADE B",8721M63X37001BRSHB-,au programme,45,"300,00 EUR",405,0,0,0,9007811869889
982140,"8721 MM 38,0X 22,0 CRYSTAL GOL.SHADOW B",8721M38X22001GSHAB-,au programme,192,"409,00 EUR",7872,0,0,0,9003149821407
982157,"8721 MM 50,0X 29,0 CRYSTAL GOL.SHADOW B",8721M50X29001GSHAB-,au programme,72,"236,00 EUR",864,0,0,0,9003149821575
982158,"8721 MM 63,0X 37,0 CRYSTAL GOL.SHADOW B",8721M63X37001GSHAB-,au programme,45,"300,00 EUR",0,0,0,0,9003149821582
982159,"8721 MM 76,0X 44,0 CRYSTAL GOL.SHADOW B",8721M76X44001GSHAB-,au programme,30,"313,00 EUR",30,0,0,0,9003149821599
982160,"8721 MM 89,0X 52,0 CRYSTAL GOL.SHADOW B",8721M89X52001GSHAB-,au programme,21,"266,00 EUR",252,0,0,0,9003149821605
621608,"8721 MM 28,0X 17,0 CRYSTAL GOLD. TEAK B",8721M28X17001GOLDTB-,au programme,400,"638,00 EUR",2800,0,0,0,9003146216084
288050,"8721 MM 38,0X 22,0 CRYSTAL GOLD. TEAK B",8721M38X22001GOLDTB-,au programme,192,"409,00 EUR",0,0,0,0,9003142880500
288051,"8721 MM 50,0X 29,0 CRYSTAL GOLD. TEAK B",8721M50X29001GOLDTB-,au programme,72,"236,00 EUR",1008,0,0,0,9003142880517
826548,"8721 MM 63,0X 37,0 CRYSTAL GOLD. TEAK B",8721M63X37001GOLDTB-,au programme,45,"300,00 EUR",450,0,0,0,9003148265486
288052,"8721 MM 76,0X 44,0 CRYSTAL GOLD. TEAK B",8721M76X44001GOLDTB-,au programme,30,"313,00 EUR",0,0,0,0,9003142880524
836783,"8721 MM 89,0X 52,0 CRYSTAL GOLD. TEAK B",8721M89X52001GOLDTB-,au programme,21,"266,00 EUR",21,0,0,0,9003148367838
