"Ean";"ref";"nom";"descrip";"Pack Size";"Gross weight";"";"price per pricing unit";""
"9003142426623";"242662";"A 8999 NR 122 312";"LE-LB SWAROVSKI STANDARD DOWNLIGHTS AND";"24";"2.28";"";"5010";""
"9003142096161";"209616";"A 8999 NR 122 013";"LE-LB SWAROVSKI STANDARD DOWNLIGHTS AND";"25";"3.65";"";"1450";""
"9003142093764";"209376";"A 8999 NR 122 002";"LE-LB SWAROVSKI STANDARD DOWNLIGHTS AND";"30";"0.66";"";"834";""
"9003142123140";"212314";"A 8999 NR 122 313";"LE-LB SWAROVSKI STANDARD DOWNLIGHTS AND";"24";"3.048";"";"5010";""
"9003146231612";"623161";"A 8999 NR 122 314";"LE-LB SWAROVSKI STANDARD DOWNLIGHTS AND";"24";"2.28";"";"5010";""
"9003146231629";"623162";"A 8999 NR 122 004";"LE-LB SWAROVSKI STANDARD DOWNLIGHTS AND";"12";"0.24";"";"834";""
"9009652651098";"5265109";"A 8999 NR 117 171";"LE-LB REMAINING INTERIOR PROCESSING ARTI";"5000";"0.58";"";"213";""
"9009652651081";"5265108";"A 8999 NR 117 148";"LE-LB REMAINING INTERIOR PROCESSING ARTI";"5000";"0.58";"";"201.87";""
"9003146231636";"623163";"A 8999 NR 122 014";"LE-LB SWAROVSKI STANDARD DOWNLIGHTS AND";"25";"3.625";"";"1450";""
"9009652651074";"5265107";"A 8999 NR 117 117";"LE-LB REMAINING INTERIOR PROCESSING ARTI";"5000";"0.41";"";"216.25";""
"9003142096154";"209615";"A 8999 NR 122 012";"LE-LB SWAROVSKI STANDARD DOWNLIGHTS AND";"25";"3.675";"";"1450";""
"9003146326943";"632694";"A 8999 NR 122 007";"LE-LB SWAROVSKI STANDARD DOWNLIGHTS AND";"15";"0.3";"";"1710";""
"9003146326967";"632696";"A 8999 NR 122 009";"LE-LB SWAROVSKI STANDARD DOWNLIGHTS AND";"15";"0.3";"";"1710";""
"9003146326950";"632695";"A 8999 NR 122 008";"LE-LB SWAROVSKI STANDARD DOWNLIGHTS AND";"15";"0.3";"";"1710";""
"9003141645490";"164549";"A 8999 NR 020 051 THREAD PART";"LE-LB REMAINING INTERIOR PROCESSING ARTI";"2340";"4.68";"";"517.91";""
"9003141555904";"155590";"A 8999 NR 118 381 BEAD PIN 38 MM";"LE-LB REMAINING INTERIOR PROCESSING ARTI";"7000";"1.064";"";"18.52";""
"9003141574776";"157477";"A 8999 NR 109 173 PLAIN CLIP 17 MM";"LE-LB REMAINING INTERIOR PROCESSING ARTI";"4830";"1.009";"";"53.35";""
"9003141937656";"193765";"A 8999 NR 122 403";"LE-LB SWAROVSKI STANDARD DOWNLIGHTS AND";"1";"6.5";"";"234";""
"9003141937649";"193764";"A 8999 NR 122 402";"LE-LB SWAROVSKI STANDARD DOWNLIGHTS AND";"1";"6.5";"";"1";""
"9003141937632";"193763";"A 8999 NR 122 303";"LE-LB SWAROVSKI STANDARD DOWNLIGHTS AND";"1";"5";"";"254";""
"9003141937625";"193762";"A 8999 NR 122 302";"LE-LB SWAROVSKI STANDARD DOWNLIGHTS AND";"1";"5";"";"179";""
"9003141574738";"157473";"A 8999 NR 107 153 HANGER 15 MM";"LE-LB REMAINING INTERIOR PROCESSING ARTI";"4200";"1.008";"";"53.23";""
"9003141574721";"157472";"A 8999 NR 107 123 HANGER 12 MM";"LE-LB REMAINING INTERIOR PROCESSING ARTI";"6550";"1.002";"";"44.57";""
"9003141664743";"166474";"A 8999 NR 112 133 PEAR-CLIP";"LE-LB REMAINING INTERIOR PROCESSING ARTI";"5000";"1.003";"";"209.37";""
